Description,Category,Changed_Sub-Category,Changed_Category
CAPITAL ONE MOBILE PYMT,Payment/Credit,Payment/Credit,Payment/Credit
COT*FLT,Other Travel,Airfare,Travel
WM SUPERCENTER #1216,Merchandise,Grocery,Shopping
CAPITAL ONE AUTOPAY PYMT,Payment/Credit,Payment/Credit,Payment/Credit
WAL-MART #2105,Merchandise,Grocery,Shopping
CHARGEPOINT INC,,EV Charging,Transportation
7-ELEVEN 38839,Gas/Automotive,Gas/Automotive,Transportation
HALF PRICE BOOKS #002,Merchandise,Gifting,Shopping
NELLIS AUCTION,Professional Services,Baby,Shopping
PIERCING PAGODA #3639,Merchandise,Baby,Shopping
MACYS  DALLAS GALLERIA,Merchandise,Apparel and accessories,Shopping
GIGSTREEM,Internet,Internet,Utilities
COSTCO *ANNUAL RENEWAL,Merchandise,Grocery,Shopping
WAL-MART #2105,Merchandise,Grocery,Shopping
EL TACASO,Dining,Restaurant,Dining
TEXAS HOT STUFF,Merchandise,Gifting,Shopping
WAL-MART #2105,Merchandise,Grocery,Shopping
2087 GREAT CLIPS AT PARK,Other Services,Beauty & Personal Care,Shopping
WAL-MART #2105,Merchandise,Grocery,Shopping
SQ *THE SHAHNAZ SALON,Other Services,Beauty & Personal Care,Shopping
CREDIT-TRAVEL REWARD,Payment/Credit,Payment/Credit,Payment/Credit
NELLIS AUCTION,Professional Services,Merchandise,Shopping
WAL-MART #2105,Merchandise,Grocery,Shopping
COSTCO WHSE #1266,Merchandise,Grocery,Shopping
COSTCO WHSE #1266,Merchandise,Grocery,Shopping
TARTE COSMET OFFER 9743E3,Payment/Credit,Payment/Credit,Payment/Credit
TARTE COSMET OFFER DF8082,Payment/Credit,Payment/Credit,Payment/Credit
PROGRESSIVE INS,Insurance,Insurance,Transportation
CAPITAL ONE MOBILE PYMT,Payment/Credit,Payment/Credit,Payment/Credit
CAPITAL ONE MOBILE PYMT,Payment/Credit,Payment/Credit,Payment/Credit
WAL-MART #2105,Merchandise,Grocery,Shopping
SWAPPA: SMARTPHONE,Merchandise,Merchandise,Shopping
CAPITAL ONE MEMBER FEE,Fee/Interest Charge,Credit Card,Credit Card
MACYS  DALLAS GALLERIA,Merchandise,Merchandise,Shopping
AMAZON MKTPL*8W13P02U3,Merchandise,Online Shopping,Shopping
CAPITAL ONE MOBILE PYMT,Payment/Credit,Payment/Credit,Payment/Credit
PATEL BROTHERS VALLEY RAN,Merchandise,Grocery,Shopping
PATEL BROTHERS VALLEY RAN,Merchandise,Grocery,Shopping
CONNECT BY AMFAM AUTO,Insurance,Insurance,Transportation
PAYPAL *ALIPAYUSINC,Merchandise,Merchandise,Shopping
DFW AIRPORT PARKING,Gas/Automotive,Gas/Automotive,Transportation
CAPITAL ONE AUTOPAY PYMT,Payment/Credit,Payment/Credit,Payment/Credit
TARGET        00018507,Merchandise,Merchandise,Shopping
EZ MART 4455,Gas/Automotive,Gas/Automotive,Transportation
MOUNTAIN FORK BREWERY GIF,Merchandise,Merchandise,Shopping
WAL-MART #0117,Merchandise,Grocery,Shopping
AMAZON MKTPL*5485W7WI3,Merchandise,Online Shopping,Shopping
Amazon.com*MZ2644DI3,Merchandise,Online Shopping,Shopping
WAL-MART #0148,Merchandise,Grocery,Shopping
SQ *HACHI HACHI,Dining,Restaurant,Dining
COSTCO GAS #1266,Gas/Automotive,Gas/Automotive,Transportation
BURLINGTON STORES 43,Merchandise,Apparel and accessories,Shopping
WAL-MART #2105,Merchandise,Grocery,Shopping
SP TURTLE WAX US,Gas/Automotive,Gas/Automotive,Transportation
ZIPS CAR WASH,Gas/Automotive,Gas/Automotive,Transportation
PAYPAL *ALIPAYUSINC,Merchandise,Merchandise,Shopping
bathandbodyworks.com,Merchandise,Beauty & Personal Care,Shopping
GIGSTREEM,Internet,Internet,Utilities
AMAZON MKTPL*TT0A02DP3,Merchandise,Online Shopping,Shopping
CAPITAL ONE MOBILE PYMT,Payment/Credit,Payment/Credit,Payment/Credit
PAYPAL *ALIPAYUSINC,Merchandise,Merchandise,Shopping
PAYPAL *ALIPAYUSINC,Merchandise,Merchandise,Shopping
