Transaction Date,Debit/Credit,Reference Number,Card No.,Description
"10/15/2025","27.06","*","","ONLINE ACH PAYMENT REF #G5F229M2K3"
"10/12/2025","146.12","*","","ONLINE ACH PAYMENT REF #G5F229D6RD"
"10/11/2025","-27.06","*","","SP SOUL FOODS INDIA FRISCO TX"
"10/10/2025","88.54","*","","ONLINE ACH PAYMENT REF #G5F2299C4R"
"10/09/2025","-146.12","*","","TST*MISTER 01 DALLAS DALLAS TX"
"10/05/2025","-60.40","*","","TST*SIMPLY SOUTH- IRVI IRVING TX"
"10/03/2025","-28.14","*","","TST*BEST THAI SIGNATUR ADDISON TX"
"10/02/2025","2247.29","*","","ONLINE ACH PAYMENT REF #G5F228KXTV"
"10/01/2025","11.87","*","","PAY WITH POINTS STATEMENT CREDIT"
"10/01/2025","-2158.25","*","","BPS*BILT RENT NEW YORK NY"
"09/30/2025","7.13","*","","PAY WITH POINTS STATEMENT CREDIT"
"09/28/2025","97.06","*","","ONLINE ACH PAYMENT REF #G5F22847NQ"
"09/28/2025","-77.57","*","","SUNDAY*HG SPLY CO FO FORT WORTH TX"
"09/28/2025","-8.12","*","","SQ *AVOCA COFFEE - MUL FORT WORTH TX"
"09/27/2025","-9.38","*","","256 BRAUMS STORE DALLAS TX"
"09/27/2025","-12.97","*","","PY *SWADESHI PLAZA INC IRVING TX"
"09/20/2025","-30.82","*","","TST* GENGHIS GRILL - A ADDISON TX"
"09/20/2025","-41.72","*","","MAGGIANOS WILLOW BEND PLANO TX"
"09/19/2025","-9.38","*","","256 BRAUMS STORE DALLAS TX"
"09/17/2025","-15.14","*","","TST*BIKANERVALA - IRVI IRVING TX"
"09/16/2025","42.31","*","","ONLINE ACH PAYMENT REF #G5F227B6S3"
"09/14/2025","585.29","*","","ONLINE ACH PAYMENT REF #G5F2276PLH"
"09/13/2025","-9.38","*","","256 BRAUMS STORE DALLAS TX"
"09/13/2025","-4.79","*","","LA MADELEINE #009 DALLAS TX"
"09/13/2025","-28.14","*","","TST*BEST THAI SIGNATUR ADDISON TX"
"09/07/2025","-78.88","*","","TST*HH - ALLEN ALLEN TX"
"09/06/2025","-75.98","*","","TST*PAPA POBLANOS MEXI BROKEN BOW OK"
"09/04/2025","2158.00","*","","ONLINE ACH PAYMENT REF #G5F226FBHF"
"09/04/2025","19.76","*","","PAY WITH POINTS STATEMENT CREDIT"
"09/04/2025","-9.38","*","","256 BRAUMS STORE DALLAS TX"
"09/02/2025","-2158.77","*","","BPS*BILT RENT NEW YORK NY"
"09/01/2025","-105.82","*","","TST*SELDA RESTAURANT DALLAS TX"
"08/29/2025","-11.97","*","","091 BRAUMS STORE CARROLLTON TX"
"08/29/2025","-86.19","*","","TST*KAILASH - TEXAS FRISCO TX"
"08/27/2025","-7.99","*","","TST* PARIS BAGUETTE - COPPELL TX"
"08/22/2025","-8.92","*","","TST*BIKANERVALA - IRVI IRVING TX"
"08/16/2025","-24.88","*","","JASON'S DELI SMC 750 SAN MARCOS TX"
"08/16/2025","-4.90","*","","CHEVRON 0382102 JARRELL TX"
"08/15/2025","2287.44","*","","ONLINE ACH PAYMENT REF #G5F224WVX7"
"08/15/2025","-79.00","*","","TOTAL WINE AND MORE IRVING TX"
"08/15/2025","-98.40","*","","PATEL BROTHERS VALLEY IRVING TX"
"08/15/2025","-11.97","*","","256 BRAUMS STORE DALLAS TX"
"08/01/2025","15.00","*","","PAY WITH POINTS STATEMENT CREDIT"
"08/01/2025","-2145.90","*","","BPS*BILT RENT NEW YORK NY"
"08/01/2025","-28.14","*","","TST*BEST THAI SIGNATUR ADDISON TX"
"07/25/2025","-11.36","*","","JASONSDELI DALLAS TX"
"07/22/2025","-9.38","*","","256 BRAUMS STORE DALLAS TX"
"07/21/2025","-74.49","*","","TST* HONEST KITCHEN - MCKINNEY TX"
"07/18/2025","-23.79","*","","SHAWARMA PRESS-IRVING IRVING TX"
"07/16/2025","-9.38","*","","256 BRAUMS STORE DALLAS TX"
"07/15/2025","66.00","*","","ONLINE ACH PAYMENT REF #G5F222MPRX"
"07/11/2025","-28.14","*","","TST*BEST THAI SIGNATUR ADDISON TX"
"07/05/2025","2113.70","*","","ONLINE ACH PAYMENT REF #G5F2229LFH"
"07/04/2025","-37.86","*","","TST* KAKATIYA - IRVING IRVING TX"
"07/01/2025","83.54","*","","ONLINE ACH PAYMENT REF #G5F22274XT"
"07/01/2025","13.53","*","","PAY WITH POINTS STATEMENT CREDIT"
"07/01/2025","-2127.23","*","","BPS*BILT RENT NEW YORK NY"
"06/22/2025","-43.72","*","","PATEL BROTHERS VALLEY IRVING TX"
"06/22/2025","-30.44","*","","H MART CARROLLTON TX CARROLLTON TX"
"06/22/2025","-9.38","*","","256 BRAUMS STORE DALLAS TX"
"06/21/2025","45.08","*","","ONLINE ACH PAYMENT REF #G5F22255XB"
"12/15/2024","101.97","*",,"Bill Pay Payment"
"12/21/2024","-57.61","*",,"TST*THIRSTY LION GASTR IRVING TX"
"12/23/2024","-10.12","*",,"CHIPOTLE 3292 DALLAS TX"
"12/25/2024","-16.64","*",,"SQ *SUN N' FUN ENTERPR GRAPEVINE TX"
"12/25/2024","-18.38","*",,"TST*DESI DISTRICT - IR IRVING TX"
"12/27/2024","-32.84","*",,"SQ *KRISHNA JUICE & CH RICHARDSON TX"
"01/01/2025","-2044.21","*",,"BPS*BILT REWARDS B NEW YORK NY"
"01/02/2025","14.46","*",,"Pay With Points Statement Credit"
"01/04/2025","2044","*",,"Bill Pay Payment"
"01/14/2025","121.34","*",,"Bill Pay Payment"
"01/26/2025","-3.23","*",,"MICHAELS STORES 8838 DALLAS TX"
"01/31/2025","-44.78","*",,"RED HOT INDO-CHINESE RICHARDSON TX"
"02/01/2025","-2064.5","*",,"BPS*BILT REWARDS B NEW YORK NY"
"02/01/2025","-11.9","*",,"KENNYS ITALIAN KITCH DALLAS TX"
"02/01/2025","-42.86","*",,"MESERO PRESTONWOOD DALLAS TX"
"02/03/2025","13.17","*",,"Pay With Points Statement Credit"
"02/06/2025","2065","*",,"Bill Pay Payment"
