Trans. Date,Description,Amount,Category
10/09/2025,"AMAZON MKTPL*NF9WY47P0 AMZN.COM/BILLWA
19BZFCTG8H7",98.37,Merchandise
10/08/2025,"AMAZON MKTPL*NF0JW7GW0 AMZN.COM/BILLWA
544ZSPS03ET",338.61,Merchandise
09/28/2025,CHARGEPOINT INC CAMPBELL CA,9.00,Automotive
09/23/2025,"GOOGLE *GOOGLE ONE G.CO/HELPPAY#CA
P1ED4GF9",3.19,Merchandise
09/20/2025,"GEXA ENERGY 866-329-4392 TX
36238099GXIX3SWXP9XYO4",170.93,Services
09/16/2025,CHARGEPOINT INC CAMPBELL CA,9.00,Automotive
09/14/2025,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-10.00,Awards and Rebate Credits
09/14/2025,INTERNET PAYMENT - THANK YOU,-187.40,Payments and Credits
09/07/2025,"DIRECTPAY FULL BALANCE
SEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-3.19,Payments and Credits
09/02/2025,CHARGEPOINT INC CAMPBELL CA,9.00,Automotive
08/27/2025,CHARGEPOINT 40 CAMPBELL CA,9.00,Automotive
08/27/2025,WALMART STORE 02105 DALLAS TX,7.12,Merchandise
08/23/2025,"GOOGLE *GOOGLE ONE G.CO/HELPPAY#CA
P1DMBBAA",3.19,Merchandise
08/20/2025,"GEXA ENERGY 866-329-4392 TX
36238099GXIXM6WZS1IYHW",169.09,Services
07/23/2025,"GOOGLE *GOOGLE ONE G.CO/HELPPAY#CA
P1CWGJXF",3.19,Merchandise
07/22/2025,INTERNET PAYMENT - THANK YOU,-21.95,Payments and Credits
07/03/2025,"256 BRAUMS STORE DALLAS TX
APPLE PAY ENDING IN 7585",9.38,Restaurants
06/27/2025,256 BRAUMS STORE DALLAS TX,9.38,Restaurants
06/23/2025,"GOOGLE *GOOGLE ONE G.CO/HELPPAY#CA
P1CAOOXC",3.19,Merchandise
06/20/2025,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-20.00,Awards and Rebate Credits
06/20/2025,INTERNET PAYMENT - THANK YOU,-307.40,Payments and Credits
06/07/2025,PATEL BROTHERS VALLEY RA IRVING TX,59.40,Supermarkets
06/07/2025,256 BRAUMS STORE DALLAS TX,11.97,Restaurants
05/31/2025,PATEL BROTHERS VALLEY RA IRVING TX,153.21,Supermarkets
05/31/2025,PATEL BROTHERS VALLEY RA IRVING TX,-4.00,Payments and Credits
05/31/2025,PATEL BROTHERS VALLEY RA IRVING TX,-36.78,Payments and Credits
05/24/2025,H MART CARROLLTON TX CARROLLTON TX,46.26,Supermarkets
05/23/2025,"GOOGLE *GOOGLE ONE G.CO/HELPPAY#CA
P1BOAU3J",3.19,Merchandise
05/17/2025,PATEL BROTHERS VALLEY RA IRVING TX,82.21,Supermarkets
05/17/2025,INDIA CASH & CARRY IRVING TX,11.94,Supermarkets
05/15/2025,INTERNET PAYMENT - THANK YOU,-3.19,Payments and Credits
04/23/2025,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P1AEQKYZ",3.19,Services
04/14/2025,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-12.00,Awards and Rebate Credits
04/14/2025,INTERNET PAYMENT - THANK YOU,-262.29,Payments and Credits
03/30/2025,VISHNUJI KI RASOI ALLEN TX,48.68,Restaurants
03/28/2025,RED HOT INDO-CHINESE RICHARDSON TX,60.95,Restaurants
03/25/2025,SHAWARMA PRESS-IRVING 214-315-7069 TX,23.79,Restaurants
03/23/2025,"GOOGLE *GOOGLE ONE G.CO/HELPPAY#CA
P19SYKYM",3.19,Merchandise
03/22/2025,"TST*BEST THAI SIGNATUR ADDISON TX
00029500023796731931AA",28.14,Restaurants
03/22/2025,256 BRAUMS STORE DALLAS TX,6.00,Restaurants
03/21/2025,UNCLE JULIO'S KELLER SPR DALLAS TX,76.68,Restaurants
03/19/2025,"PANERA BREAD #606099 K COPPELL TX
01907P",12.55,Restaurants
03/15/2025,256 BRAUMS STORE DALLAS TX,6.00,Restaurants
03/14/2025,KWALITY ICECREAM IRVING TX,8.31,Restaurants
03/13/2025,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-10.00,Awards and Rebate Credits
03/13/2025,INTERNET PAYMENT - THANK YOU,-213.31,Payments and Credits
03/09/2025,WALMART STORE 00471 LANCASTER TX,35.13,Merchandise
03/08/2025,THAI SPICE RESTAURANT AUSTIN TX,53.55,Restaurants
03/02/2025,WALMART STORE 02105 DALLAS TX,27.60,Merchandise
02/23/2025,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P199A28W",3.19,Merchandise
02/15/2025,PY *CURRY UP NOW GRANDSC THE COLONY TX,61.63,Restaurants
02/14/2025,LUPE TORTILLA 24 ADDISON TX,42.21,Restaurants
02/13/2025,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-10.00,Awards and Rebate Credits
02/13/2025,INTERNET PAYMENT - THANK YOU,-186.66,Payments and Credits
02/09/2025,WALMART WMTPAY 02105 DALLAS TX,47.37,Merchandise
